Training information

Epoch, Precision, Accuracy
1, 0.5555555555555556, 0.7
2, 0.7857142857142857, 0.8583333333333333
3, 0.8095238095238095, 0.875
4, 0.8333333333333334, 0.8916666666666667
5, 0.7857142857142857, 0.8583333333333333
6, 0.8333333333333334, 0.8916666666666667
7, 0.7857142857142857, 0.8583333333333333
8, 0.8095238095238095, 0.875
9, 0.8095238095238095, 0.875
10, 0.8333333333333334, 0.8916666666666667
11, 0.8095238095238095, 0.875
12, 0.8095238095238095, 0.875
13, 0.8809523809523809, 0.925
14, 0.975609756097561, 0.9833333333333333
15, 0.926829268292683, 0.95
16, 0.926829268292683, 0.95
17, 0.8571428571428571, 0.9083333333333333
18, 0.9047619047619048, 0.9416666666666667
19, 0.926829268292683, 0.95
20, 0.926829268292683, 0.95
21, 0.9512195121951219, 0.9666666666666667
22, 0.9047619047619048, 0.9416666666666667
23, 0.8780487804878049, 0.9166666666666666
24, 0.9024390243902439, 0.9333333333333333
25, 0.9047619047619048, 0.9416666666666667
26, 0.8780487804878049, 0.9166666666666666
27, 0.9024390243902439, 0.9333333333333333
28, 0.9047619047619048, 0.9416666666666667
29, 0.8780487804878049, 0.9166666666666666
30, 0.9024390243902439, 0.9333333333333333
31, 0.9047619047619048, 0.9416666666666667
32, 0.9024390243902439, 0.9333333333333333
33, 0.9024390243902439, 0.9333333333333333
34, 0.9512195121951219, 0.9666666666666667
35, 0.9047619047619048, 0.9416666666666667
36, 0.9024390243902439, 0.9333333333333333
37, 0.9024390243902439, 0.9333333333333333
38, 0.9512195121951219, 0.9666666666666667
39, 0.9047619047619048, 0.9416666666666667
40, 0.9024390243902439, 0.9333333333333333
41, 0.9024390243902439, 0.9333333333333333
42, 0.9512195121951219, 0.9666666666666667
43, 0.9047619047619048, 0.9416666666666667
44, 0.9024390243902439, 0.9333333333333333
45, 0.9024390243902439, 0.9333333333333333
46, 0.9512195121951219, 0.9666666666666667
47, 0.9512195121951219, 0.9666666666666667
48, 0.9047619047619048, 0.9416666666666667
49, 0.9024390243902439, 0.9333333333333333
50, 0.926829268292683, 0.95
51, 0.975609756097561, 0.9833333333333333
52, 0.9512195121951219, 0.9666666666666667
53, 0.975609756097561, 0.9833333333333333
54, 0.975609756097561, 0.9833333333333333
55, 0.926829268292683, 0.95
56, 0.9512195121951219, 0.9666666666666667
57, 0.9512195121951219, 0.9666666666666667
58, 0.9047619047619048, 0.9416666666666667
59, 0.9024390243902439, 0.9333333333333333
60, 0.9024390243902439, 0.9333333333333333
61, 0.9512195121951219, 0.9666666666666667
62, 0.9285714285714286, 0.9583333333333334
63, 0.9024390243902439, 0.9333333333333333
64, 0.9024390243902439, 0.9333333333333333
65, 0.9512195121951219, 0.9666666666666667
66, 0.9285714285714286, 0.9583333333333334
67, 0.9024390243902439, 0.9333333333333333
68, 0.9024390243902439, 0.9333333333333333
69, 0.9512195121951219, 0.9666666666666667
70, 0.9523809523809523, 0.975
71, 0.975609756097561, 0.9833333333333333
72, 0.975609756097561, 0.9833333333333333
73, 0.926829268292683, 0.95
74, 0.9024390243902439, 0.9333333333333333
75, 0.9512195121951219, 0.9666666666666667
76, 0.9285714285714286, 0.9583333333333334
77, 0.926829268292683, 0.95
78, 0.9024390243902439, 0.9333333333333333
79, 0.975609756097561, 0.9833333333333333
80, 0.975609756097561, 0.9833333333333333
81, 0.9512195121951219, 0.9666666666666667
82, 0.975609756097561, 0.9833333333333333
83, 0.975609756097561, 0.9833333333333333
84, 0.9512195121951219, 0.9666666666666667
85, 0.975609756097561, 0.9833333333333333
86, 0.975609756097561, 0.9833333333333333
87, 0.9512195121951219, 0.9666666666666667
88, 0.975609756097561, 0.9833333333333333
89, 0.975609756097561, 0.9833333333333333
90, 0.926829268292683, 0.95
91, 0.9512195121951219, 0.9666666666666667
92, 0.9512195121951219, 0.9666666666666667
93, 0.9523809523809523, 0.975
94, 0.975609756097561, 0.9833333333333333
95, 0.975609756097561, 0.9833333333333333
96, 0.9512195121951219, 0.9666666666666667
97, 0.9024390243902439, 0.9333333333333333
98, 0.926829268292683, 0.95
99, 0.926829268292683, 0.95
100, 0.9512195121951219, 0.9666666666666667
Pesos finales: 
[-0.31995429789849195, -0.4299216356424152, -0.818548469819577, 0.7645663825586733, 1.0697080760865287]

Test information

Precision, Accuracy
0.9, 0.9666666666666667
